escalonamento,	Threads,	tempo,	cache miss,	speedup,	eficiencia
static.10, 1, 0.32988, 91733.8, 1.0000, 1.0000
static.10, 2, 0.33176, 74614, 1.0057, 0.5028
static.10, 4, 0.33134, 88029, 1.0044, 0.2511
static.10, 8, 0.32966, 75510.4, 0.9993, 0.1249
static.10, 12, 0.33428, 71205, 1.0133, 0.0844
static.5, 1, 0.31546, 109541.2, 1.0000, 1.0000
static.5, 2, 0.31296, 84520, 0.9921, 0.4960
static.5, 4, 0.32362, 75171.6, 1.0259, 0.2565
static.5, 8, 0.31866, 98950.4, 1.0101, 0.1263
static.5, 12, 0.3142, 91665.2, 0.9960, 0.0830
static.2, 1, 0.3227, 90047.4, 1.0000, 1.0000
static.2, 2, 0.32234, 71396, 0.9989, 0.4994
static.2, 4, 0.31538, 76083.4, 0.9773, 0.2443
static.2, 8, 0.32002, 81403, 0.9917, 0.1240
static.2, 12, 0.3272, 72467.6, 1.0139, 0.0845
dynamic, 1, 0.28774, 79895.4, 1.0000, 1.0000
dynamic, 2, 0.28714, 97687, 0.9979, 0.4990
dynamic, 4, 0.28912, 72925.4, 1.0048, 0.2512
dynamic, 8, 0.28558, 81616.2, 0.9925, 0.1241
dynamic, 12, 0.28718, 78508.2, 0.9981, 0.0832
guided, 1, 0.30054, 113116.6, 1.0000, 1.0000
guided, 2, 0.29514, 86411.8, 0.9820, 0.4910
guided, 4, 0.29678, 72452.8, 0.9875, 0.2469
guided, 8, 0.29478, 76879.2, 0.9808, 0.1226
guided, 12, 0.29384, 101599, 0.9777, 0.0815
